# x	y	u	v	flags	mask
4.4531e-03	6.5625e-03	1.3670e+01	2.1753e+01	1.0000e+00	0.0000e+00
4.6875e-03	6.5625e-03	1.3636e+01	2.1817e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.5625e-03	1.3476e+01	2.1751e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.5625e-03	1.3587e+01	2.1764e+01	1.0000e+00	0.0000e+00
5.3906e-03	6.5625e-03	1.3861e+01	2.1898e+01	0.0000e+00	0.0000e+00
5.6250e-03	6.5625e-03	1.3450e+01	2.1720e+01	1.0000e+00	0.0000e+00
5.8594e-03	6.5625e-03	1.3347e+01	2.1700e+01	1.0000e+00	0.0000e+00
6.0938e-03	6.5625e-03	1.2968e+01	2.1588e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.5625e-03	1.2937e+01	2.1679e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.5625e-03	1.3043e+01	2.1711e+01	1.0000e+00	0.0000e+00
6.7969e-03	6.5625e-03	1.3009e+01	2.1863e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.5625e-03	1.2962e+01	2.1788e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.5625e-03	1.3219e+01	2.1804e+01	1.0000e+00	0.0000e+00
2.3438e-04	6.3281e-03	3.8761e+01	2.2331e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.3281e-03	3.3209e+01	2.1868e+01	0.0000e+00	0.0000e+00
7.0313e-04	6.3281e-03	3.1752e+01	2.1727e+01	0.0000e+00	0.0000e+00
9.3750e-04	6.3281e-03	3.0977e+01	2.2393e+01	0.0000e+00	0.0000e+00
1.1719e-03	6.3281e-03	3.0987e+01	2.2191e+01	0.0000e+00	0.0000e+00
1.4063e-03	6.3281e-03	3.3346e+01	2.2878e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.3281e-03	3.2437e+01	2.3180e+01	0.0000e+00	0.0000e+00
1.8750e-03	6.3281e-03	3.1617e+01	2.1465e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.3281e-03	3.1454e+01	2.1369e+01	0.0000e+00	0.0000e+00
2.3438e-03	6.3281e-03	3.2823e+01	2.1842e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.3281e-03	3.3302e+01	2.1639e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.3281e-03	3.1339e+01	2.1337e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.3281e-03	2.4512e+01	2.1074e+01	0.0000e+00	0.0000e+00
3.2813e-03	6.3281e-03	1.5832e+01	2.1337e+01	0.0000e+00	0.0000e+00
3.5156e-03	6.3281e-03	1.7194e+01	2.1830e+01	1.0000e+00	0.0000e+00
3.7500e-03	6.3281e-03	1.4040e+01	2.1761e+01	0.0000e+00	0.0000e+00
3.9844e-03	6.3281e-03	1.4311e+01	2.1790e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.3281e-03	1.3839e+01	2.1769e+01	1.0000e+00	0.0000e+00
4.4531e-03	6.3281e-03	1.3761e+01	2.1814e+01	0.0000e+00	0.0000e+00
4.6875e-03	6.3281e-03	1.3543e+01	2.1786e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.3281e-03	1.3466e+01	2.1741e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.3281e-03	1.3508e+01	2.1665e+01	0.0000e+00	0.0000e+00
5.3906e-03	6.3281e-03	1.3908e+01	2.1896e+01	0.0000e+00	0.0000e+00
5.6250e-03	6.3281e-03	1.3539e+01	2.1705e+01	1.0000e+00	0.0000e+00
5.8594e-03	6.3281e-03	1.3370e+01	2.1632e+01	0.0000e+00	0.0000e+00
6.0938e-03	6.3281e-03	1.3208e+01	2.1483e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.3281e-03	1.3070e+01	2.1495e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.3281e-03	1.3116e+01	2.1702e+01	1.0000e+00	0.0000e+00
6.7969e-03	6.3281e-03	1.3111e+01	2.1868e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.3281e-03	1.3109e+01	2.1839e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.3281e-03	1.3245e+01	2.1775e+01	1.0000e+00	0.0000e+00
2.3438e-04	6.0938e-03	3.7917e+01	2.2111e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.0938e-03	3.4526e+01	2.1764e+01	1.0000e+00	0.0000e+00
7.0313e-04	6.0938e-03	3.4037e+01	2.1752e+01	1.0000e+00	0.0000e+00
9.3750e-04	6.0938e-03	3.4242e+01	2.1221e+01	0.0000e+00	0.0000e+00
1.1719e-03	6.0938e-03	3.3024e+01	2.1814e+01	1.0000e+00	0.0000e+00
1.4063e-03	6.0938e-03	3.1494e+01	2.2343e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.0938e-03	3.1509e+01	2.2336e+01	0.0000e+00	0.0000e+00
1.8750e-03	6.0938e-03	3.2915e+01	2.1796e+01	1.0000e+00	0.0000e+00
2.1094e-03	6.0938e-03	3.3248e+01	2.1675e+01	1.0000e+00	0.0000e+00
2.3438e-03	6.0938e-03	3.3764e+01	2.2145e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.0938e-03	3.4724e+01	2.1323e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.0938e-03	3.2223e+01	2.0882e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.0938e-03	2.4866e+01	2.1590e+01	1.0000e+00	0.0000e+00
3.2813e-03	6.0938e-03	2.0838e+01	2.1675e+01	1.0000e+00	0.0000e+00
3.5156e-03	6.0938e-03	1.4544e+01	2.1689e+01	0.0000e+00	0.0000e+00
3.7500e-03	6.0938e-03	1.5163e+01	2.1800e+01	1.0000e+00	0.0000e+00
3.9844e-03	6.0938e-03	1.4318e+01	2.1786e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.0938e-03	1.3819e+01	2.1771e+01	1.0000e+00	0.0000e+00
4.4531e-03	6.0938e-03	1.3661e+01	2.1778e+01	0.0000e+00	0.0000e+00
4.6875e-03	6.0938e-03	1.3547e+01	2.1811e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.0938e-03	1.3771e+01	2.1804e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.0938e-03	1.3643e+01	2.1687e+01	0.0000e+00	0.0000e+00
5.3906e-03	6.0938e-03	1.3936e+01	2.1720e+01	0.0000e+00	0.0000e+00
5.6250e-03	6.0938e-03	1.3580e+01	2.1710e+01	1.0000e+00	0.0000e+00
5.8594e-03	6.0938e-03	1.3531e+01	2.1625e+01	0.0000e+00	0.0000e+00
6.0938e-03	6.0938e-03	1.3489e+01	2.1626e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.0938e-03	1.3409e+01	2.1560e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.0938e-03	1.3193e+01	2.1692e+01	1.0000e+00	0.0000e+00
6.7969e-03	6.0938e-03	1.3051e+01	2.1729e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.0938e-03	1.3057e+01	2.1672e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.0938e-03	1.4957e+01	2.2092e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.8594e-03	3.7713e+01	2.1614e+01	0.0000e+00	0.0000e+00
4.6875e-04	5.8594e-03	3.2657e+01	2.1509e+01	0.0000e+00	0.0000e+00
7.0313e-04	5.8594e-03	3.3221e+01	2.1025e+01	0.0000e+00	0.0000e+00
9.3750e-04	5.8594e-03	3.5609e+01	2.1284e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.8594e-03	3.3306e+01	2.1494e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.8594e-03	3.2188e+01	2.1451e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.8594e-03	3.5343e+01	2.1465e+01	0.0000e+00	0.0000e+00
1.8750e-03	5.8594e-03	3.3167e+01	2.1683e+01	1.0000e+00	0.0000e+00
2.1094e-03	5.8594e-03	3.3310e+01	2.1566e+01	1.0000e+00	0.0000e+00
2.3438e-03	5.8594e-03	3.3855e+01	2.1706e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.8594e-03	3.7052e+01	2.0801e+01	0.0000e+00	0.0000e+00
2.8125e-03	5.8594e-03	3.3267e+01	2.0244e+01	0.0000e+00	0.0000e+00
3.0469e-03	5.8594e-03	2.3322e+01	2.1994e+01	0.0000e+00	0.0000e+00
3.2813e-03	5.8594e-03	1.5508e+01	2.2470e+01	0.0000e+00	0.0000e+00
3.5156e-03	5.8594e-03	1.7704e+01	2.1804e+01	1.0000e+00	0.0000e+00
3.7500e-03	5.8594e-03	1.5178e+01	2.1794e+01	1.0000e+00	0.0000e+00
3.9844e-03	5.8594e-03	1.4207e+01	2.1543e+01	0.0000e+00	0.0000e+00
4.2188e-03	5.8594e-03	1.3806e+01	2.1783e+01	1.0000e+00	0.0000e+00
4.4531e-03	5.8594e-03	1.3565e+01	2.1776e+01	0.0000e+00	0.0000e+00
4.6875e-03	5.8594e-03	1.3651e+01	2.1780e+01	1.0000e+00	0.0000e+00
4.9219e-03	5.8594e-03	1.3737e+01	2.1771e+01	0.0000e+00	0.0000e+00
5.1563e-03	5.8594e-03	1.3905e+01	2.1765e+01	0.0000e+00	0.0000e+00
5.3906e-03	5.8594e-03	1.3991e+01	2.1709e+01	0.0000e+00	0.0000e+00
5.6250e-03	5.8594e-03	1.4054e+01	2.1655e+01	0.0000e+00	0.0000e+00
5.8594e-03	5.8594e-03	1.3359e+01	2.1740e+01	0.0000e+00	0.0000e+00
6.0938e-03	5.8594e-03	1.3408e+01	2.1679e+01	1.0000e+00	0.0000e+00
6.3281e-03	5.8594e-03	1.3308e+01	2.1685e+01	1.0000e+00	0.0000e+00
6.5625e-03	5.8594e-03	1.3236e+01	2.1692e+01	1.0000e+00	0.0000e+00
6.7969e-03	5.8594e-03	1.3279e+01	2.1716e+01	1.0000e+00	0.0000e+00
7.0313e-03	5.8594e-03	1.3255e+01	2.1732e+01	1.0000e+00	0.0000e+00
7.2656e-03	5.8594e-03	1.3486e+01	2.1442e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.6250e-03	3.3864e+01	2.1480e+01	1.0000e+00	0.0000e+00
4.6875e-04	5.6250e-03	3.3991e+01	2.1470e+01	1.0000e+00	0.0000e+00
7.0313e-04	5.6250e-03	3.3996e+01	2.1450e+01	1.0000e+00	0.0000e+00
9.3750e-04	5.6250e-03	3.3863e+01	2.1591e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.6250e-03	3.3353e+01	2.1333e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.6250e-03	3.4828e+01	2.1189e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.6250e-03	3.6122e+01	2.1141e+01	0.0000e+00	0.0000e+00
