# x	y	u	v	flags	mask
9.3750e-04	6.0938e-03	4.4491e+01	2.1559e+01	1.0000e+00	0.0000e+00
1.1719e-03	6.0938e-03	4.4490e+01	2.1588e+01	0.0000e+00	0.0000e+00
1.4063e-03	6.0938e-03	4.4478e+01	2.1541e+01	1.0000e+00	0.0000e+00
1.6406e-03	6.0938e-03	4.4424e+01	2.1525e+01	1.0000e+00	0.0000e+00
1.8750e-03	6.0938e-03	4.4398e+01	2.1492e+01	1.0000e+00	0.0000e+00
2.1094e-03	6.0938e-03	4.4207e+01	2.1426e+01	0.0000e+00	0.0000e+00
2.3438e-03	6.0938e-03	4.2772e+01	2.1377e+01	1.0000e+00	0.0000e+00
2.5781e-03	6.0938e-03	4.1140e+01	2.1317e+01	1.0000e+00	0.0000e+00
2.8125e-03	6.0938e-03	3.6444e+01	2.1266e+01	1.0000e+00	0.0000e+00
3.0469e-03	6.0938e-03	3.8176e+01	1.9908e+01	0.0000e+00	0.0000e+00
3.2813e-03	6.0938e-03	2.0395e+01	2.0205e+01	0.0000e+00	0.0000e+00
3.5156e-03	6.0938e-03	1.6000e+01	2.1092e+01	0.0000e+00	0.0000e+00
3.7500e-03	6.0938e-03	1.6832e+01	2.1492e+01	1.0000e+00	0.0000e+00
3.9844e-03	6.0938e-03	1.5654e+01	2.1576e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.0938e-03	1.4929e+01	2.1497e+01	0.0000e+00	0.0000e+00
4.4531e-03	6.0938e-03	1.4873e+01	2.1737e+01	0.0000e+00	0.0000e+00
4.6875e-03	6.0938e-03	1.4803e+01	2.1619e+01	1.0000e+00	0.0000e+00
4.9219e-03	6.0938e-03	1.4711e+01	2.1581e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.0938e-03	1.4823e+01	2.1659e+01	0.0000e+00	0.0000e+00
5.3906e-03	6.0938e-03	1.4851e+01	2.1641e+01	0.0000e+00	0.0000e+00
5.6250e-03	6.0938e-03	1.4975e+01	2.1539e+01	0.0000e+00	0.0000e+00
5.8594e-03	6.0938e-03	1.4861e+01	2.1571e+01	0.0000e+00	0.0000e+00
6.0938e-03	6.0938e-03	1.4760e+01	2.1698e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.0938e-03	1.4831e+01	2.1623e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.0938e-03	1.4892e+01	2.1564e+01	0.0000e+00	0.0000e+00
6.7969e-03	6.0938e-03	1.4855e+01	2.1558e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.0938e-03	1.4812e+01	2.1486e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.0938e-03	1.4862e+01	2.1556e+01	1.0000e+00	0.0000e+00
2.3438e-04	5.8594e-03	4.4515e+01	2.1555e+01	1.0000e+00	0.0000e+00
4.6875e-04	5.8594e-03	4.4431e+01	2.1588e+01	0.0000e+00	0.0000e+00
7.0313e-04	5.8594e-03	4.4459e+01	2.1527e+01	0.0000e+00	0.0000e+00
9.3750e-04	5.8594e-03	4.4483e+01	2.1521e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.8594e-03	4.4496e+01	2.1560e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.8594e-03	4.4591e+01	2.1593e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.8594e-03	4.4617e+01	2.1606e+01	0.0000e+00	0.0000e+00
1.8750e-03	5.8594e-03	4.4436e+01	2.1574e+01	0.0000e+00	0.0000e+00
2.1094e-03	5.8594e-03	4.3965e+01	2.1458e+01	1.0000e+00	0.0000e+00
2.3438e-03	5.8594e-03	4.4375e+01	2.1541e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.8594e-03	4.1253e+01	2.1212e+01	1.0000e+00	0.0000e+00
2.8125e-03	5.8594e-03	3.6834e+01	2.1091e+01	1.0000e+00	0.0000e+00
3.0469e-03	5.8594e-03	3.8481e+01	2.1772e+01	0.0000e+00	0.0000e+00
3.2813e-03	5.8594e-03	2.1174e+01	2.0235e+01	0.0000e+00	0.0000e+00
3.5156e-03	5.8594e-03	1.6063e+01	2.0583e+01	0.0000e+00	0.0000e+00
3.7500e-03	5.8594e-03	1.5977e+01	2.1427e+01	0.0000e+00	0.0000e+00
3.9844e-03	5.8594e-03	1.5778e+01	2.1458e+01	1.0000e+00	0.0000e+00
4.2188e-03	5.8594e-03	1.5208e+01	2.1548e+01	1.0000e+00	0.0000e+00
4.4531e-03	5.8594e-03	1.4991e+01	2.1575e+01	1.0000e+00	0.0000e+00
4.6875e-03	5.8594e-03	1.4839e+01	2.1596e+01	1.0000e+00	0.0000e+00
4.9219e-03	5.8594e-03	1.4762e+01	2.1523e+01	0.0000e+00	0.0000e+00
5.1563e-03	5.8594e-03	1.4770e+01	2.1693e+01	0.0000e+00	0.0000e+00
