# x	y	u	v	flags	mask
3.9844e-03	6.3281e-03	3.5549e+01	2.1494e+01	1.0000e+00	0.0000e+00
4.2188e-03	6.3281e-03	3.4133e+01	2.1513e+01	1.0000e+00	0.0000e+00
4.4531e-03	6.3281e-03	3.2790e+01	2.1537e+01	0.0000e+00	0.0000e+00
4.6875e-03	6.3281e-03	3.1780e+01	2.1526e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.3281e-03	3.0878e+01	2.1522e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.3281e-03	3.0089e+01	2.1564e+01	0.0000e+00	0.0000e+00
5.3906e-03	6.3281e-03	2.9404e+01	2.1584e+01	0.0000e+00	0.0000e+00
5.6250e-03	6.3281e-03	2.8821e+01	2.1539e+01	1.0000e+00	0.0000e+00
5.8594e-03	6.3281e-03	2.8101e+01	2.1562e+01	0.0000e+00	0.0000e+00
6.0938e-03	6.3281e-03	2.7496e+01	2.1605e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.3281e-03	2.6987e+01	2.1572e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.3281e-03	2.6578e+01	2.1584e+01	1.0000e+00	0.0000e+00
6.7969e-03	6.3281e-03	2.5992e+01	2.1655e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.3281e-03	2.5753e+01	2.1656e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.3281e-03	2.5939e+01	2.1596e+01	1.0000e+00	0.0000e+00
2.3438e-04	6.0938e-03	4.3202e+01	2.1560e+01	0.0000e+00	0.0000e+00
4.6875e-04	6.0938e-03	4.4253e+01	2.1506e+01	1.0000e+00	0.0000e+00
7.0313e-04	6.0938e-03	4.4287e+01	2.1517e+01	1.0000e+00	0.0000e+00
9.3750e-04	6.0938e-03	4.4462e+01	2.1493e+01	0.0000e+00	0.0000e+00
1.1719e-03	6.0938e-03	4.4396e+01	2.1552e+01	1.0000e+00	0.0000e+00
1.4063e-03	6.0938e-03	4.4398e+01	2.1549e+01	0.0000e+00	0.0000e+00
1.6406e-03	6.0938e-03	4.4425e+01	2.1514e+01	0.0000e+00	0.0000e+00
1.8750e-03	6.0938e-03	4.4393e+01	2.1518e+01	0.0000e+00	0.0000e+00
2.1094e-03	6.0938e-03	4.4414e+01	2.1490e+01	1.0000e+00	0.0000e+00
2.3438e-03	6.0938e-03	4.4416e+01	2.1525e+01	0.0000e+00	0.0000e+00
2.5781e-03	6.0938e-03	4.4376e+01	2.1313e+01	0.0000e+00	0.0000e+00
2.8125e-03	6.0938e-03	4.4043e+01	2.1219e+01	0.0000e+00	0.0000e+00
3.0469e-03	6.0938e-03	4.2283e+01	2.1350e+01	1.0000e+00	0.0000e+00
3.2813e-03	6.0938e-03	4.1147e+01	2.1251e+01	0.0000e+00	0.0000e+00
3.5156e-03	6.0938e-03	3.8449e+01	2.1407e+01	0.0000e+00	0.0000e+00
3.7500e-03	6.0938e-03	3.7233e+01	2.1458e+01	1.0000e+00	0.0000e+00
3.9844e-03	6.0938e-03	3.5133e+01	2.1405e+01	0.0000e+00	0.0000e+00
4.2188e-03	6.0938e-03	3.4148e+01	2.1521e+01	1.0000e+00	0.0000e+00
4.4531e-03	6.0938e-03	3.2778e+01	2.1542e+01	0.0000e+00	0.0000e+00
4.6875e-03	6.0938e-03	3.1802e+01	2.1578e+01	0.0000e+00	0.0000e+00
4.9219e-03	6.0938e-03	3.0918e+01	2.1600e+01	0.0000e+00	0.0000e+00
5.1563e-03	6.0938e-03	3.0155e+01	2.1562e+01	0.0000e+00	0.0000e+00
5.3906e-03	6.0938e-03	2.9497e+01	2.1528e+01	1.0000e+00	0.0000e+00
5.6250e-03	6.0938e-03	2.8714e+01	2.1479e+01	0.0000e+00	0.0000e+00
5.8594e-03	6.0938e-03	2.8071e+01	2.1463e+01	0.0000e+00	0.0000e+00
6.0938e-03	6.0938e-03	2.7501e+01	2.1503e+01	0.0000e+00	0.0000e+00
6.3281e-03	6.0938e-03	2.6980e+01	2.1515e+01	0.0000e+00	0.0000e+00
6.5625e-03	6.0938e-03	2.6605e+01	2.1560e+01	1.0000e+00	0.0000e+00
6.7969e-03	6.0938e-03	2.6053e+01	2.1546e+01	0.0000e+00	0.0000e+00
7.0313e-03	6.0938e-03	2.5767e+01	2.1482e+01	0.0000e+00	0.0000e+00
7.2656e-03	6.0938e-03	2.7133e+01	2.1671e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.8594e-03	4.4359e+01	2.1481e+01	0.0000e+00	0.0000e+00
4.6875e-04	5.8594e-03	4.4345e+01	2.1687e+01	0.0000e+00	0.0000e+00
7.0313e-04	5.8594e-03	4.4322e+01	2.1555e+01	0.0000e+00	0.0000e+00
9.3750e-04	5.8594e-03	4.4433e+01	2.1495e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.8594e-03	4.4419e+01	2.1588e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.8594e-03	4.4399e+01	2.1628e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.8594e-03	4.4401e+01	2.1576e+01	0.0000e+00	0.0000e+00
1.8750e-03	5.8594e-03	4.4404e+01	2.1520e+01	1.0000e+00	0.0000e+00
2.1094e-03	5.8594e-03	4.4402e+01	2.1479e+01	1.0000e+00	0.0000e+00
2.3438e-03	5.8594e-03	4.4272e+01	2.1434e+01	1.0000e+00	0.0000e+00
2.5781e-03	5.8594e-03	4.4220e+01	2.1357e+01	0.0000e+00	0.0000e+00
2.8125e-03	5.8594e-03	4.4022e+01	2.1307e+01	0.0000e+00	0.0000e+00
3.0469e-03	5.8594e-03	4.3541e+01	2.1294e+01	0.0000e+00	0.0000e+00
3.2813e-03	5.8594e-03	4.1187e+01	2.1348e+01	0.0000e+00	0.0000e+00
3.5156e-03	5.8594e-03	3.9055e+01	2.1473e+01	1.0000e+00	0.0000e+00
3.7500e-03	5.8594e-03	3.6520e+01	2.1536e+01	0.0000e+00	0.0000e+00
3.9844e-03	5.8594e-03	3.5191e+01	2.1443e+01	0.0000e+00	0.0000e+00
4.2188e-03	5.8594e-03	3.4132e+01	2.1537e+01	1.0000e+00	0.0000e+00
4.4531e-03	5.8594e-03	3.2807e+01	2.1566e+01	0.0000e+00	0.0000e+00
4.6875e-03	5.8594e-03	3.1907e+01	2.1549e+01	1.0000e+00	0.0000e+00
4.9219e-03	5.8594e-03	3.0948e+01	2.1535e+01	0.0000e+00	0.0000e+00
